sentence,label,words
Q：今天收了三件重量级的礼物！哈哈。开心咧：））    A：还不错吧,3,Q ： 今天 收 了 三件 重量级 的 礼物 ！ 哈哈 。 开心 咧 ： ） ） A ： 还 不错 吧
Q：今天收了三件重量级的礼物！哈哈。开心咧：））    A：呵呵呵~,2,Q ： 今天 收 了 三件 重量级 的 礼物 ！ 哈哈 。 开心 咧 ： ） ） A ： 呵呵 呵 ~
Q：今天虽然我们输了，但是大家都尽力了。到客场再打，继续加油！    A：不错不错。,3,Q ： 今天 虽然 我们 输 了 ， 但是 大家 都 尽力 了 。 到 客场 再 打 ， 继续 加油 ！ A ： 不错 不错 。
Q：今天一整天都在海边训练。虽然很累，但还是很开心的！    A：不错不错~,3,Q ： 今天 一整天 都 在 海边 训练 。 虽然 很累 ， 但 还是 很 开心 的 ！ A ： 不错 不错 ~
Q：今天一整天都在海边训练。虽然很累，但还是很开心的！    A：哈哈，好,2,Q ： 今天 一整天 都 在 海边 训练 。 虽然 很累 ， 但 还是 很 开心 的 ！ A ： 哈哈 ， 好
Q：今天在华工看见这个真的笑死我了…O(∩_∩)O好精致的单车锁！    A：太赞了！,3,Q ： 今天 在 华工 看见 这个 真的 笑 死 我 了 … O ( ∩ _ ∩ ) O 好 精致 的 单车 锁 ！ A ： 太赞 了 ！
Q：今天终于有太阳啦！完美的一天开始了    A：还不错~,3,Q ： 今天 终于 有 太阳 啦 ！ 完美 的 一天 开始 了 A ： 还 不错 ~
Q：今天终于有太阳啦！完美的一天开始了    A：开心啊。,2,Q ： 今天 终于 有 太阳 啦 ！ 完美 的 一天 开始 了 A ： 开心 啊 。
Q：今天自制的午餐，老鼠茨饭！哈哈很好吃的    A：哈哈、,2,Q ： 今天 自制 的 午餐 ， 老鼠 茨 饭 ！ 哈哈 很 好吃 的 A ： 哈哈 、
Q：今天总算得到新浪认证了，看到大V，心里很高兴。    A：捏哈哈~,2,Q ： 今天 总算 得到 新浪 认证 了 ， 看到 大 V ， 心里 很 高兴 。 A ： 捏 哈哈 ~
Q：今天总算得到新浪认证了，看到大V，心里很高兴。    A：赞~~~,3,Q ： 今天 总算 得到 新浪 认证 了 ， 看到 大 V ， 心里 很 高兴 。 A ： 赞 ~ ~ ~
Q：今又买到了二块很特殊的车牌。真开心。    A：不错，是吧？,3,Q ： 今 又 买 到 了 二块 很 特殊 的 车牌 。 真 开心 。 A ： 不错 ， 是 吧 ？
Q：今又买到了二块很特殊的车牌。真开心。    A：哈哈是啊,2,Q ： 今 又 买 到 了 二块 很 特殊 的 车牌 。 真 开心 。 A ： 哈哈 是 啊
Q：开工吃一块儿大白兔，开心又复古。    A：哈哈是的,2,Q ： 开工 吃 一块儿 大白兔 ， 开心 又 复古 。 A ： 哈哈 是 的
Q：看了一半《致青春》，什么玩意，骂都懒得骂。    A：尼玛~！,0,Q ： 看 了 一半 《 致 青春 》 ， 什么 玩意 ， 骂 都 懒得 骂 。 A ： 尼玛 ~ ！
Q：看了一半《致青春》，什么玩意，骂都懒得骂。    A：真是扯蛋。,1,Q ： 看 了 一半 《 致 青春 》 ， 什么 玩意 ， 骂 都 懒得 骂 。 A ： 真是 扯蛋 。
Q：看了一早晨昨晚的扣篮，高兴了。    A：好厉害好厉害哦，,3,Q ： 看 了 一 早晨 昨晚 的 扣篮 ， 高兴 了 。 A ： 好 厉害 好 厉害 哦 ，
Q：看了一早晨昨晚的扣篮，高兴了。    A：嘿嘿……,2,Q ： 看 了 一 早晨 昨晚 的 扣篮 ， 高兴 了 。 A ： 嘿嘿 … …
Q：可爱的龙猫软糖。真舍不得入口啊。    A：不错，不错,3,Q ： 可爱 的 龙 猫 软糖 。 真 舍不得 入口 啊 。 A ： 不错 ， 不错
Q：可爱的棉花糖，偷吃了一口    A：呵呵呵~,2,Q ： 可爱 的 棉花 糖 ， 偷吃 了 一口 A ： 呵呵 呵 ~
Q：可怕的不是真坏人，而是假好人！    A：太扯了~,1,Q ： 可怕 的 不是 真 坏人 ， 而是 假 好人 ！ A ： 太扯 了 ~
Q：昆明今晚“月圆花好”，美呆了。！    A：不错呵呵,3,Q ： 昆明 今晚 “ 月圆花好 ” ， 美呆 了 。 ！ A ： 不错 呵呵
Q：昆明今晚“月圆花好”，美呆了。！    A：开心啊。,2,Q ： 昆明 今晚 “ 月圆花好 ” ， 美呆 了 。 ！ A ： 开心 啊 。
Q：老兄，今天星期五啊。高兴起来！    A：嗯啦~,2,Q ： 老兄 ， 今天 星期五 啊 。 高兴 起来 ！ A ： 嗯 啦 ~
Q：老兄，今天星期五啊。高兴起来！    A：委屈大了，哎,4,Q ： 老兄 ， 今天 星期五 啊 。 高兴 起来 ！ A ： 委屈 大 了 ， 哎
Q：离别，就是一个走，一个留，走的比不上留下的痛苦。    A：不过觉得太可悲了。,4,Q ： 离别 ， 就是 一个 走 ， 一个 留 ， 走 的 比不上 留下 的 痛苦 。 A ： 不过 觉得 太 可悲 了 。
Q：路边的野花啊，你总是那么美！    A：哈哈对呀,2,Q ： 路边 的 野花 啊 ， 你 总是 那么 美 ！ A ： 哈哈 对 呀
Q：路边的野花啊，你总是那么美！    A：呵呵，还不错还不错。,3,Q ： 路边 的 野花 啊 ， 你 总是 那么 美 ！ A ： 呵呵 ， 还 不错 还 不错 。
Q：妈蛋！这个家到底谁才是主人啊！我要崩溃了！    A：尼玛的。。。,0,Q ： 妈蛋 ！ 这个 家 到底 谁 才 是 主人 啊 ！ 我要 崩溃 了 ！ A ： 尼玛 的 。 。 。
Q：妈蛋！这个家到底谁才是主人啊！我要崩溃了！    A：越来越过分了,1,Q ： 妈蛋 ！ 这个 家 到底 谁 才 是 主人 啊 ！ 我要 崩溃 了 ！ A ： 越来越 过分 了
Q：门上那货是监考的吗？！有必要这么凶残吗。    A：尼玛..,0,Q ： 门上 那货 是 监考 的 吗 ？ ！ 有 必要 这么 凶残 吗 。 A ： 尼玛 ..
Q：门上那货是监考的吗？！有必要这么凶残吗。    A：讨厌讨厌。。。,1,Q ： 门上 那货 是 监考 的 吗 ？ ！ 有 必要 这么 凶残 吗 。 A ： 讨厌 讨厌 。 。 。
Q：梦寐以求的垃圾食品，耶！好吃好吃。    A：呸！！！,0,Q ： 梦寐以求 的 垃圾 食品 ， 耶 ！ 好吃 好吃 。 A ： 呸 ！ ！ ！
Q：梦寐以求的垃圾食品，耶！好吃好吃。    A：嘻嘻。,2,Q ： 梦寐以求 的 垃圾 食品 ， 耶 ！ 好吃 好吃 。 A ： 嘻嘻 。
Q：梦寐以求的垃圾食品，耶！好吃好吃。    A：赞。,3,Q ： 梦寐以求 的 垃圾 食品 ， 耶 ！ 好吃 好吃 。 A ： 赞 。
Q：明天是星期六呀。想起来就开心呀。    A：哈哈是啊,2,Q ： 明天 是 星期六 呀 。 想 起来 就 开心 呀 。 A ： 哈哈 是 啊
Q：那些在公交车上偷安全锤的人，都是啥心理？    A：尼玛！！！,0,Q ： 那些 在 公交车 上 偷 安全 锤 的 人 ， 都 是 啥 心理 ？ A ： 尼玛 ！ ！ ！
Q：那些在公交车上偷安全锤的人，都是啥心理？    A：招烦！,1,Q ： 那些 在 公交车 上 偷 安全 锤 的 人 ， 都 是 啥 心理 ？ A ： 招烦 ！
Q：男人常把女人的谈情当做助性，而女人偏把男人的调戏当做真情。    A：唉，悲哀呀！,4,Q ： 男人 常 把 女人 的 谈情 当做 助性 ， 而 女人 偏 把 男人 的 调戏 当做 真情 。 A ： 唉 ， 悲哀 呀 ！
Q：妮玛感冒了，好难受……    A：唉。衰。,4,Q ： 妮玛 感冒 了 ， 好 难受 … … A ： 唉 。 衰 。
Q：你都好意思骗我了，我哪好意思不信。    A：混蛋！！！,0,Q ： 你 都 好意思 骗 我 了 ， 我 哪 好意思 不 信 。 A ： 混蛋 ！ ！ ！
Q：你都好意思骗我了，我哪好意思不信。    A：真无耻啊,1,Q ： 你 都 好意思 骗 我 了 ， 我 哪 好意思 不 信 。 A ： 真 无耻 啊
Q：你们是人民警察，怎么能这样对待人民？土地是农民的命根子。    A：太恶心了,1,Q ： 你们 是 人民警察 ， 怎么 能 这样 对待 人民 ？ 土地 是 农民 的 命根子 。 A ： 太 恶心 了
Q：你说这都是打个伞，怎么做人的差距就那么大昵？！    A：哼！？！,0,Q ： 你 说 这 都 是 打个 伞 ， 怎么 做人 的 差距 就 那么 大昵 ？ ！ A ： 哼 ！ ？ ！
Q：抢镜可耻！抢镜卖萌更可耻！    A：呸呸呸。。。,0,Q ： 抢镜 可耻 ！ 抢镜 卖萌 更 可耻 ！ A ： 呸 呸 呸 。 。 。
Q：抢镜可耻！抢镜卖萌更可耻！    A：讨厌讨厌…,1,Q ： 抢镜 可耻 ！ 抢镜 卖萌 更 可耻 ！ A ： 讨厌 讨厌 …
Q：惬意的大中午啊，喵。哈。哈。    A：嘿嘿。,2,Q ： 惬意 的 大 中午 啊 ， 喵 。 哈 。 哈 。 A ： 嘿嘿 。
Q：惬意的大中午啊，喵。哈。哈。    A：哦！不错嘛！,3,Q ： 惬意 的 大 中午 啊 ， 喵 。 哈 。 哈 。 A ： 哦 ！ 不错 嘛 ！
Q：轻松熊蛋包饭。太萌了！    A：好呀。不错、不错,3,Q ： 轻松 熊 蛋包饭 。 太萌 了 ！ A ： 好 呀 。 不错 、 不错
Q：轻松熊蛋包饭。太萌了！    A：嘿嘿是呢,2,Q ： 轻松 熊 蛋包饭 。 太萌 了 ！ A ： 嘿嘿 是 呢
Q：人的一生真的需要几个这样的朋友，相互信赖，相互依存。    A：不错，不错,3,Q ： 人 的 一生 真的 需要 几个 这样 的 朋友 ， 相互 信赖 ， 相互依存 。 A ： 不错 ， 不错
Q：日本的红桥，如此极致的用色，走在这一定会忘掉很多烦恼。！    A：不错！,3,Q ： 日本 的 红桥 ， 如此 极致 的 用色 ， 走 在 这 一定 会 忘掉 很多 烦恼 。 ！ A ： 不错 ！
Q：日本的小盆友好有礼貌啊。    A：不错，不错,3,Q ： 日本 的 小盆 友好 有 礼貌 啊 。 A ： 不错 ， 不错
"Q：如果良心都走了，拿什么荣耀这片土地？    A：是呀,伤不起了",4,"Q ： 如果 良心 都 走 了 ， 拿 什么 荣耀 这片 土地 ？ A ： 是 呀 , 伤不起 了"
Q：上帝啊，终于放暑假啦！    A：超赞吧,3,Q ： 上帝 啊 ， 终于 放暑假 啦 ！ A ： 超赞 吧
Q：上帝啊，终于放暑假啦！    A：嘻嘻..,2,Q ： 上帝 啊 ， 终于 放暑假 啦 ！ A ： 嘻嘻 ..
Q：深夜，是一个人心灵最脆弱的时候，也是想念最疯狂的时候。    A：唉唉~~~,4,Q ： 深夜 ， 是 一个 人 心灵 最 脆弱 的 时候 ， 也 是 想念 最 疯狂 的 时候 。 A ： 唉 唉 ~ ~ ~
Q：生活就是要这种态度，牙再大，也要笑！哈哈。    A：啊哈哈~,2,Q ： 生活 就是 要 这种 态度 ， 牙 再 大 ， 也 要 笑 ！ 哈哈 。 A ： 啊 哈哈 ~
Q：生活就是要这种态度，牙再大，也要笑！哈哈。    A：蛮好的~,3,Q ： 生活 就是 要 这种 态度 ， 牙 再 大 ， 也 要 笑 ！ 哈哈 。 A ： 蛮 好 的 ~
Q：世间最痛苦的莫过于此！    A：是啊！难受！痛,4,Q ： 世间 最 痛苦 的 莫过于此 ！ A ： 是 啊 ！ 难受 ！ 痛
Q：世界杯真讨厌，欧冠也好讨厌……点球神马的最讨厌了。    A：确实很恶心！,1,Q ： 世界杯 真 讨厌 ， 欧冠 也好 讨厌 … … 点球 神马 的 最 讨厌 了 。 A ： 确实 很 恶心 ！
Q：世界杯真讨厌，欧冠也好讨厌……点球神马的最讨厌了。    A：嘻嘻……,2,Q ： 世界杯 真 讨厌 ， 欧冠 也好 讨厌 … … 点球 神马 的 最 讨厌 了 。 A ： 嘻嘻 … …
Q：收到了这种语气让人特别想打人的诈骗短信…    A：哼！哼！哼！,0,Q ： 收到 了 这种 语气 让 人 特别 想 打人 的 诈骗 短信 … A ： 哼 ！ 哼 ！ 哼 ！
Q：收到了这种语气让人特别想打人的诈骗短信…    A：太过分了，,1,Q ： 收到 了 这种 语气 让 人 特别 想 打人 的 诈骗 短信 … A ： 太过分 了 ，
Q：谁把树木修剪成这样啦。太可爱啦    A：不错呵呵,3,Q ： 谁 把 树木 修剪 成 这样 啦 。 太 可爱 啦 A ： 不错 呵呵
Q：谁家的游泳池啊！太有爱了。！    A：开心！,2,Q ： 谁家 的 游泳池 啊 ！ 太有 爱 了 。 ！ A ： 开心 ！
Q：谁家的游泳池啊！太有爱了。！    A：一直都很好呀,3,Q ： 谁家 的 游泳池 啊 ！ 太有 爱 了 。 ！ A ： 一直 都 很 好 呀
Q：睡觉吧，把各种悲伤难过都睡走。晚安。    A：不过觉得太可悲了。,4,Q ： 睡觉 吧 ， 把 各种 悲伤 难过 都 睡 走 。 晚安 。 A ： 不过 觉得 太 可悲 了 。
Q：说好了不打脸的，网易太没节操了。    A：悲惨。。。,4,Q ： 说好 了 不 打 脸 的 ， 网易 太 没 节操 了 。 A ： 悲惨 。 。 。
Q：说好了不打脸的，网易太没节操了。    A：怒了怒了,0,Q ： 说好 了 不 打 脸 的 ， 网易 太 没 节操 了 。 A ： 怒 了 怒 了
Q：说好了不打脸的，网易太没节操了。    A：讨厌讨厌讨厌,1,Q ： 说好 了 不 打 脸 的 ， 网易 太 没 节操 了 。 A ： 讨厌 讨厌 讨厌
Q：虽然吴楠没有拿到冠军，但是还是好样的。    A：哈哈就是就是,2,Q ： 虽然 吴楠 没有 拿到 冠军 ， 但是 还是 好样 的 。 A ： 哈哈 就是 就是
Q：虽然吴楠没有拿到冠军，但是还是好样的。    A：是啊看了就觉得好心酸难过,4,Q ： 虽然 吴楠 没有 拿到 冠军 ， 但是 还是 好样 的 。 A ： 是 啊 看 了 就 觉得 好 心酸 难过
Q：所以说跳水运动员最讨厌拍近景照片！    A：太龌龊了,1,Q ： 所以 说 跳水 运动员 最 讨厌 拍 近景 照片 ！ A ： 太 龌龊 了
Q：太有才了，创意大师啊！    A：嘿嘿嗯嗯,2,Q ： 太有 才 了 ， 创意 大师 啊 ！ A ： 嘿嘿 嗯 嗯
Q：太有才了，创意大师啊！    A：太强了！,3,Q ： 太有 才 了 ， 创意 大师 啊 ！ A ： 太强 了 ！
Q：天冷了，要是有这么一床被子看书，该是多么惬意啊！    A：嘿嘿、,2,Q ： 天冷 了 ， 要是 有 这么 一床 被子 看书 ， 该是 多么 惬意 啊 ！ A ： 嘿嘿 、
Q：天天给我写的明信片，感动的我啊，一转眼她就长大了    A：哈哈是的,2,Q ： 天天 给 我 写 的 明信片 ， 感动 的 我 啊 ， 一转眼 她 就 长大 了 A ： 哈哈 是 的
Q：天天收到这些信息真挺烦人的哎。    A：尼玛~!,0,Q ： 天天 收到 这些 信息 真挺 烦人 的 哎 。 A ： 尼玛 ~ !
Q：天天收到这些信息真挺烦人的哎。    A：伤不起伤不起！！！,4,Q ： 天天 收到 这些 信息 真挺 烦人 的 哎 。 A ： 伤不起 伤不起 ！ ！ ！
